source_node,target_node,relationship_type,relationship_source,relationship_strength,clinical_substitution_supported,graph_view
NODE_PHENYLEPHRINE,NODE_CYCLOPENTOLATE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (690312),0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_TROPICAMIDE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (814303),0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_ATROPINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008931, 1008644, 689598, 1008610, 1007162, 689597)",0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_ZINC SULFATE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689757),0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (818102),0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_METHOCARBAMOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1009037),0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_OXYCODONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (484259),0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_HYDROCODONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214627),0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_CARISOPRODOL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (820465, 1007410)",0.4,False,SIMILARITY
NODE_IBUPROFEN,NODE_CHLORZOXAZONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (821036),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_NAPROXEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008561),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_DICLOFENAC,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (819516),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_METHOCARBAMOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (814386),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_OXYCODONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214183),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_HYDROCODONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689562, 1008298, 689553, 214182)",0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_PIROXICAM,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (818190),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_CARISOPRODOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (816583),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_ORPHENADRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (814872),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_CHLORZOXAZONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (494309),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_MEPERIDINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689788),0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_ATROPINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689557, 1008644)",0.4,False,SIMILARITY
NODE_ACETAMINOPHEN,NODE_CALCIUM GLUCONATE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689551),0.4,False,SIMILARITY
NODE_MELOXICAM,NODE_RIZATRIPTAN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2710482),0.4,False,SIMILARITY
NODE_NAPROXEN,NODE_SUMATRIPTAN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (797426),0.4,False,SIMILARITY
NODE_NAPROXEN,NODE_CARISOPRODOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (818929),0.4,False,SIMILARITY
NODE_NAPROXEN,NODE_MISOPROSTOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (106637),0.4,False,SIMILARITY
NODE_DICLOFENAC,NODE_CARISOPRODOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008452),0.4,False,SIMILARITY
NODE_DICLOFENAC,NODE_FLUOROURACIL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1600381),0.4,False,SIMILARITY
NODE_DICLOFENAC,NODE_MISOPROSTOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214502),0.4,False,SIMILARITY
NODE_METHOCARBAMOL,NODE_INDOMETHACIN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008069),0.4,False,SIMILARITY
NODE_ALLOPURINOL,NODE_COLCHICINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (813995),0.4,False,SIMILARITY
NODE_ALLOPURINOL,NODE_PROBENECID,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (815923),0.4,False,SIMILARITY
NODE_COLCHICINE,NODE_PROBENECID,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214452),0.4,False,SIMILARITY
NODE_OXYCODONE,NODE_NALOXONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1545902),0.4,False,SIMILARITY
NODE_OXYCODONE,NODE_NALTREXONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1806700),0.4,False,SIMILARITY
NODE_MORPHINE,NODE_NALTREXONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (866331),0.4,False,SIMILARITY
NODE_MORPHINE,NODE_ATROPINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689610),0.4,False,SIMILARITY
NODE_BUPRENORPHINE,NODE_NALOXONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (352364),0.4,False,SIMILARITY
NODE_SUMATRIPTAN,NODE_NARATRIPTAN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007757),0.4,False,SIMILARITY
